 0.025  0.000
 0.075  0.000
 0.125  0.000
 0.175  0.000
 0.225  0.000
 0.275  0.000
 0.325  0.000
 0.375  0.000
 0.425  0.000
 0.475  0.000
 0.525  0.000
 0.575  0.000
 0.625  0.000
 0.675  0.000
 0.725  0.000
 0.775  0.000
 0.825  0.000
 0.875  0.000
 0.925  0.000
 0.975  0.000
 1.025  0.000
 1.075  0.000
 1.125  0.000
 1.175  0.000
 1.225  0.000
 1.275  0.000
 1.325  0.000
 1.375  0.000
 1.425  0.000
 1.475  0.000
 1.525  0.000
 1.575  0.000
 1.625  0.000
 1.675  0.000
 1.725  0.000
 1.775  0.000
 1.825  0.000
 1.875  0.000
 1.925  0.000
 1.975  0.000
 2.025  0.000
 2.075  0.000
 2.125  0.000
 2.175  0.000
 2.225  0.010
 2.275  0.219
 2.325  0.055
 2.375  0.166
 2.425  0.393
 2.475  1.510
 2.525  5.177
 2.575 11.187
 2.625  8.417
 2.675  3.712
 2.725  1.524
 2.775  0.786
 2.825  0.487
 2.875  0.428
 2.925  0.391
 2.975  0.306
 3.025  0.290
 3.075  0.286
 3.125  0.368
 3.175  0.410
 3.225  0.426
 3.275  0.569
 3.325  0.694
 3.375  0.773
 3.425  0.759
 3.475  0.811
 3.525  0.768
 3.575  0.635
 3.625  0.520
 3.675  0.422
 3.725  0.440
 3.775  0.390
 3.825  0.397
 3.875  0.380
 3.925  0.444
 3.975  0.411
 4.025  0.486
 4.075  0.578
 4.125  0.624
 4.175  0.830
 4.225  1.083
 4.275  1.144
 4.325  1.078
 4.375  0.959
 4.425  0.842
 4.475  0.816
 4.525  0.817
 4.575  0.870
 4.625  0.947
 4.675  1.013
 4.725  1.190
 4.775  1.586
 4.825  2.071
 4.875  2.459
 4.925  2.273
 4.975  1.860
 5.025  1.520
 5.075  1.178
 5.125  0.976
 5.175  0.801
 5.225  0.670
 5.275  0.659
 5.325  0.631
 5.375  0.633
 5.425  0.674
 5.475  0.674
 5.525  0.733
 5.575  0.671
 5.625  0.670
 5.675  0.617
 5.725  0.681
 5.775  0.739
 5.825  0.821
 5.875  0.982
 5.925  1.093
 5.975  1.130
 6.025  1.023
 6.075  1.037
 6.125  0.897
 6.175  0.851
 6.225  0.814
 6.275  0.908
 6.325  0.944
 6.375  0.950
 6.425  0.976
 6.475  0.941
 6.525  0.914
 6.575  0.900
 6.625  0.880
 6.675  0.983
 6.725  1.058
 6.775  1.133
 6.825  1.269
 6.875  1.268
 6.925  1.206
 6.975  1.229
 7.025  1.131
 7.075  1.192
 7.125  1.235
 7.175  1.364
 7.225  1.435
 7.275  1.416
 7.325  1.280
 7.375  1.085
 7.425  0.936
 7.475  0.890
 7.525  0.828
 7.575  0.799
 7.625  0.703
 7.675  0.769
 7.725  0.791
 7.775  0.863
 7.825  0.937
 7.875  1.112
 7.925  1.143
 7.975  1.243
 8.025  1.291
 8.075  1.238
 8.125  1.205
 8.175  1.131
 8.225  1.114
 8.275  1.063
 8.325  1.082
 8.375  1.061
 8.425  1.058
 8.475  0.963
 8.525  0.900
 8.575  0.874
 8.625  0.928
 8.675  0.973
 8.725  0.994
 8.775  0.998
 8.825  1.062
 8.875  0.949
 8.925  0.974
 8.975  0.917
 9.025  0.930
 9.075  0.957
 9.125  0.904
 9.175  0.954
 9.225  0.928
 9.275  0.967
 9.325  1.010
 9.375  0.954
 9.425  0.930
 9.475  0.928
 9.525  0.917
 9.575  0.869
 9.625  0.908
 9.675  0.921
 9.725  0.887
 9.775  0.902
 9.825  0.909
 9.875  0.878
 9.925  0.922
 9.975  0.921
10.025  0.961
